Speaker,Sentence
COMINIUS,"Flower of warriors,
How is it with Titus Lartius?"
COMINIUS,"Where is that slave
Which told me they had beat you to your trenches?
Where is he? call him hither."
COMINIUS,But how prevail'd you?
COMINIUS,"Marcius,
We have at disadvantage fought and did
Retire to win our purpose."
COMINIUS,"As I guess, Marcius,
Their bands i' the vaward are the Antiates,
Of their best trust; o'er them Aufidius,
Their very heart of hope."
COMINIUS,"Though I could wish
You were conducted to a gentle bath
And balms applied to, you, yet dare I never
Deny your asking"
COMINIUS,"March on, my fellows"
COMINIUS,"If I should tell thee o'er this thy day's work,
Thou'ldst not believe thy deeds"
COMINIUS,"You shall not be
The grave of your deserving; Rome must know
The value of her own"
COMINIUS,"Should they not,
Well might they fester 'gainst ingratitude,
And tent themselves with death. Of all the horses,
Whereof we have ta'en good and good store, of all
The treasure in this field achieved and city,
We render you the tenth, to be ta'en forth,
Before the common distribution, at
Your only choice."
COMINIUS,"Too modest are you;
More cruel to your good report than grateful
To us that give you truly"
CORIOLANUS,"I will go wash;
And when my face is fair, you shall perceive
Whether I blush or no"
COMINIUS,"So, to our tent;
Where, ere we do repose us, we will write
To Rome of our success. You, Titus Lartius,
Must to Corioli back"
CORIOLANUS,"The gods begin to mock me. I, that now
Refused most princely gifts, am bound to beg
Of my lord general."
COMINIUS,Take't; 'tis yours. What is't?
CORIOLANUS,"I sometime lay here in Corioli
At a poor man's house; he used me kindly"
COMINIUS,"O, well begg'd!
Were he the butcher of my son, he should
Be free as is the wind. Deliver him, Titus."
CORIOLANUS,"By Jupiter! forgot.
I am weary; yea, my memory is tired.
Have we no wine here?"
COMINIUS,Go we to our tent
MENENIUS,The augurer tells me we shall have news to-night.
BRUTUS,Good or bad?
MENENIUS,"Not according to the prayer of the people, for they
love not Marcius."
SICINIUS,Nature teaches beasts to know their friends.
MENENIUS,"Pray you, who does the wolf love?"
SICINIUS,The lamb.
MENENIUS,"Ay, to devour him; as the hungry plebeians would the
noble Marcius."
BRUTUS,"He's a lamb indeed, that baes like a bear."
MENENIUS,"He's a bear indeed, that lives like a lamb. You two
are old men"
MENENIUS,"In what enormity is Marcius poor in, that you two
have not in abundance?"
BRUTUS,"He's poor in no one fault, but stored with all."
SICINIUS,Especially in pride.
BRUTUS,And topping all others in boasting.
MENENIUS,This is strange now
MENENIUS,"Because you talk of pride now,--will you not be angry?"
MENENIUS,"Why, 'tis no great matter; for a very little thief of
occasion will rob you of a great deal of patience"
BRUTUS,"We do it not alone, sir."
MENENIUS,"I know you can do very little alone; for your helps
are many, or else your actions would grow wondrous
single"
BRUTUS,"What then, sir?"
MENENIUS,"Why, then you should discover a brace of unmeriting,
proud, violent, testy magistrates, alias fools, as
any in Rome."
SICINIUS,"Menenius, you are known well enough too."
MENENIUS,"I am known to be a humorous patrician, and one that
loves a cup of hot wine with not a drop of allaying
Tiber in't; said to be something imperfect in
favouring the first complaint; hasty and tinder-like
upon too trivial motion; one that converses more
with the buttock of the night than with the forehead
of the morning"
BRUTUS,"Come, sir, come, we know you well enough."
MENENIUS,"You know neither me, yourselves nor any thing. You
are ambitious for poor knaves' caps and legs"
BRUTUS,"Come, come, you are well understood to be a
perfecter giber for the table than a necessary
bencher in the Capitol."
MENENIUS,"Our very priests must become mockers, if they shall
encounter such ridiculous subjects as you are. When
you speak best unto the purpose, it is not worth the
wagging of your beards; and your beards deserve not
so honourable a grave as to stuff a botcher's
cushion, or to be entombed in an ass's pack-
saddle. Yet you must be saying, Marcius is proud;
who in a cheap estimation, is worth predecessors
since Deucalion, though peradventure some of the
best of 'em were hereditary hangmen. God-den to
your worships"
MENENIUS,Ha! Marcius coming home!
MENENIUS,"Take my cap, Jupiter, and I thank thee. Hoo!
Marcius coming home!"
MENENIUS,I will make my very house reel tonight
MENENIUS,"A letter for me! it gives me an estate of seven
years' health; in which time I will make a lip at
the physician"
MENENIUS,"So do I too, if it be not too much"
MENENIUS,Has he disciplined Aufidius soundly?
MENENIUS,"And 'twas time for him too, I'll warrant him that"
MENENIUS,"Wondrous! ay, I warrant you, and not without his
true purchasing."
MENENIUS,"True! I'll be sworn they are true.
Where is he wounded?
God save your good worships! Marcius is coming
home"
MENENIUS,"One i' the neck, and two i' the thigh,--there's
nine that I know."
MENENIUS,Now it's twenty-seven
CORIOLANUS,No more of this; it does offend my heart
COMINIUS,"Look, sir, your mother!"
CORIOLANUS,"O,
You have, I know, petition'd all the gods
For my prosperity!"
CORIOLANUS,"My gracious silence, hail!
Wouldst thou have laugh'd had I come coffin'd home,
That weep'st to see me triumph? Ay, my dear,
Such eyes the widows in Corioli wear,
And mothers that lack sons."
MENENIUS,"Now, the gods crown thee!"
CORIOLANUS,"And live you yet?
O my sweet lady, pardon."
MENENIUS,"A hundred thousand welcomes. I could weep
And I could laugh, I am light and heavy. Welcome.
A curse begin at very root on's heart,
That is not glad to see thee! You are three
That Rome should dote on"
COMINIUS,Ever right.
CORIOLANUS,"Menenius ever, ever."
CORIOLANUS,""
CORIOLANUS,"Know, good mother,
I had rather be their servant in my way,
Than sway with them in theirs."
COMINIUS,"On, to the Capitol!"
BRUTUS,"All tongues speak of him, and the bleared sights
Are spectacled to see him"
SICINIUS,"On the sudden,
I warrant him consul."
BRUTUS,"Then our office may,
During his power, go sleep."
SICINIUS,"He cannot temperately transport his honours
From where he should begin and end, but will
Lose those he hath won."
BRUTUS,In that there's comfort.
SICINIUS,"Doubt not
The commoners, for whom we stand, but they
Upon their ancient malice will forget
With the least cause these his new honours, which
That he will give them make I as little question
As he is proud to do't."
BRUTUS,"I heard him swear,
Were he to stand for consul, never would he
Appear i' the market-place nor on him put
The napless vesture of humility;
Nor showing, as the manner is, his wounds
To the people, beg their stinking breaths."
SICINIUS,'Tis right.
BRUTUS,It was his word
SICINIUS,"I wish no better
Than have him hold that purpose and to put it
In execution."
BRUTUS,'Tis most like he will.
SICINIUS,"It shall be to him then as our good wills,
A sure destruction."
BRUTUS,"So it must fall out
To him or our authorities. For an end,
We must suggest the people in what hatred
He still hath held them; that to's power he would
Have made them mules, silenced their pleaders and
Dispropertied their freedoms, holding them,
In human action and capacity,
Of no more soul nor fitness for the world
Than camels in the war, who have their provand
Only for bearing burdens, and sore blows
For sinking under them."
SICINIUS,"This, as you say, suggested
At some time when his soaring insolence
Shall touch the people--which time shall not want,
If he be put upon 't; and that's as easy
As to set dogs on sheep--will be his fire
To kindle their dry stubble; and their blaze
Shall darken him for ever."
BRUTUS,What's the matter?
BRUTUS,"Let's to the Capitol;
And carry with us ears and eyes for the time,
But hearts for the event."
SICINIUS,Have with you.
MENENIUS,"Having determined of the Volsces and
To send for Titus Lartius, it remains,
As the main point of this our after-meeting,
To gratify his noble service that
Hath thus stood for his country"
SICINIUS,"We are convented
Upon a pleasing treaty, and have hearts
Inclinable to honour and advance
The theme of our assembly."
BRUTUS,"Which the rather
We shall be blest to do, if he remember
A kinder value of the people than
He hath hereto prized them at."
MENENIUS,"That's off, that's off;
I would you rather had been silent. Please you
To hear Cominius speak?"
BRUTUS,"Most willingly;
But yet my caution was more pertinent
Than the rebuke you give it."
MENENIUS,"He loves your people
But tie him not to be their bedfellow.
Worthy Cominius, speak.
Nay, keep your place."
CORIOLANUS,Your horror's pardon
BRUTUS,"Sir, I hope
My words disbench'd you not."
CORIOLANUS,"No, sir"
MENENIUS,"Pray now, sit down."
CORIOLANUS,"I had rather have one scratch my head i' the sun
When the alarum were struck than idly sit
To hear my nothings monster'd."
MENENIUS,"Masters of the people,
Your multiplying spawn how can he flatter--
That's thousand to one good one--when you now see
He had rather venture all his limbs for honour
Than one on's ears to hear it? Proceed, Cominius."
COMINIUS,I shall lack voice
MENENIUS,Worthy man!
COMINIUS,"Our spoils he kick'd at,
And look'd upon things precious as they were
The common muck of the world"
MENENIUS,He's right noble
MENENIUS,"The senate, Coriolanus, are well pleased
To make thee consul."
CORIOLANUS,"I do owe them still
My life and services."
MENENIUS,"It then remains
That you do speak to the people."
CORIOLANUS,"I do beseech you,
Let me o'erleap that custom, for I cannot
Put on the gown, stand naked and entreat them,
For my wounds' sake, to give their suffrage"
SICINIUS,"Sir, the people
Must have their voices; neither will they bate
One jot of ceremony."
MENENIUS,Put them not to't
CORIOLANUS,"It is apart
That I shall blush in acting, and might well
Be taken from the people."
BRUTUS,Mark you that?
CORIOLANUS,"To brag unto them, thus I did, and thus;
Show them the unaching scars which I should hide,
As if I had received them for the hire
Of their breath only!"
MENENIUS,"Do not stand upon't.
We recommend to you, tribunes of the people,
Our purpose to them"
BRUTUS,You see how he intends to use the people.
SICINIUS,"May they perceive's intent! He will require them,
As if he did contemn what he requested
Should be in them to give."
BRUTUS,"Come, we'll inform them
Of our proceedings here"
MENENIUS,"O sir, you are not right"
CORIOLANUS,"What must I say?
'I Pray, sir'--Plague upon't! I cannot bring
My tongue to such a pace"
MENENIUS,"O me, the gods!
You must not speak of that"
CORIOLANUS,"Think upon me! hang 'em!
I would they would forget me, like the virtues
Which our divines lose by 'em."
MENENIUS,You'll mar all
CORIOLANUS,"Bid them wash their faces
And keep their teeth clean.
So, here comes a brace.
You know the cause, air, of my standing here."
CORIOLANUS,Mine own desert.
CORIOLANUS,"Ay, but not mine own desire."
CORIOLANUS,"No, sir,'twas never my desire yet to trouble the
poor with begging."
CORIOLANUS,"Well then, I pray, your price o' the consulship?"
CORIOLANUS,"Kindly! Sir, I pray, let me ha't"
CORIOLANUS,"A match, sir. There's in all two worthy voices
begged. I have your alms"
CORIOLANUS,"Pray you now, if it may stand with the tune of your
voices that I may be consul, I have here the
customary gown."
CORIOLANUS,Your enigma?
CORIOLANUS,"You should account me the more virtuous that I have
not been common in my love. I will, sir, flatter my
sworn brother, the people, to earn a dearer
estimation of them; 'tis a condition they account
gentle"
CORIOLANUS,"I will not seal your knowledge with showing them. I
will make much of your voices, and so trouble you no further."
CORIOLANUS,"Most sweet voices!
Better it is to die, better to starve,
Than crave the hire which first we do deserve.
Why in this woolvish toge should I stand here,
To beg of Hob and Dick, that do appear,
Their needless vouches? Custom calls me to't"
CORIOLANUS,Worthy voices!
MENENIUS,"You have stood your limitation; and the tribunes
Endue you with the people's voice"
CORIOLANUS,Is this done?
SICINIUS,The custom of request you have discharged
CORIOLANUS,Where? at the senate-house?
SICINIUS,"There, Coriolanus."
CORIOLANUS,May I change these garments?
SICINIUS,"You may, sir."
CORIOLANUS,"That I'll straight do; and, knowing myself again,
Repair to the senate-house."
MENENIUS,I'll keep you company. Will you along?
BRUTUS,We stay here for the people.
SICINIUS,"Fare you well.
He has it now, and by his looks methink
'Tis warm at 's heart."
BRUTUS,"With a proud heart he wore his humble weeds.
will you dismiss the people?"
SICINIUS,"How now, my masters! have you chose this man?"
BRUTUS,We pray the gods he may deserve your loves.
SICINIUS,"Why, so he did, I am sure."
SICINIUS,"Why either were you ignorant to see't,
Or, seeing it, of such childish friendliness
To yield your voices?"
BRUTUS,"Could you not have told him
As you were lesson'd, when he had no power,
But was a petty servant to the state,
He was your enemy, ever spake against
Your liberties and the charters that you bear
I' the body of the weal; and now, arriving
A place of potency and sway o' the state,
If he should still malignantly remain
Fast foe to the plebeii, your voices might
Be curses to yourselves? You should have said
That as his worthy deeds did claim no less
Than what he stood for, so his gracious nature
Would think upon you for your voices and
Translate his malice towards you into love,
Standing your friendly lord."
SICINIUS,"Thus to have said,
As you were fore-advised, had touch'd his spirit
And tried his inclination; from him pluck'd
Either his gracious promise, which you might,
As cause had call'd you up, have held him to
Or else it would have gall'd his surly nature,
Which easily endures not article
Tying him to aught; so putting him to rage,
You should have ta'en the advantage of his choler
And pass'd him unelected."
BRUTUS,"Did you perceive
He did solicit you in free contempt
When he did need your loves, and do you think
That his contempt shall not be bruising to you,
When he hath power to crush? Why, had your bodies
No heart among you? or had you tongues to cry
Against the rectorship of judgment?"
SICINIUS,"Have you
Ere now denied the asker? and now again
Of him that did not ask, but mock, bestow
Your sued-for tongues?"
BRUTUS,"Get you hence instantly, and tell those friends,
They have chose a consul that will from them take
Their liberties; make them of no more voice
Than dogs that are as often beat for barking
As therefore kept to do so."
SICINIUS,"Let them assemble,
And on a safer judgment all revoke
Your ignorant election; enforce his pride,
And his old hate unto you; besides, forget not
With what contempt he wore the humble weed,
How in his suit he scorn'd you; but your loves,
Thinking upon his services, took from you
The apprehension of his present portance,
Which most gibingly, ungravely, he did fashion
After the inveterate hate he bears you."
BRUTUS,"Lay
A fault on us, your tribunes; that we laboured,
No impediment between, but that you must
Cast your election on him."
SICINIUS,"Say, you chose him
More after our commandment than as guided
By your own true affections, and that your minds,
Preoccupied with what you rather must do
Than what you should, made you against the grain
To voice him consul"
BRUTUS,"Ay, spare us not. Say we read lectures to you.
How youngly he began to serve his country,
How long continued, and what stock he springs of,
The noble house o' the Marcians, from whence came
That Ancus Marcius, Numa's daughter's son,
Who, after great Hostilius, here was king;
Of the same house Publius and Quintus were,
That our beat water brought by conduits hither;
And  
Twice being  
Was his great ancestor."
SICINIUS,"One thus descended,
That hath beside well in his person wrought
To be set high in place, we did commend
To your remembrances"
BRUTUS,"Say, you ne'er had done't--
Harp on that still--but by our putting on;
And presently, when you have drawn your number,
Repair to the Capitol."
BRUTUS,"Let them go on;
This mutiny were better put in hazard,
Than stay, past doubt, for greater"
SICINIUS,"To the Capitol, come"
CORIOLANUS,Tullus Aufidius then had made new head?
CORIOLANUS,"So then the Volsces stand but as at first,
Ready, when time shall prompt them, to make road.
Upon's again."
COMINIUS,"They are worn, lord consul, so,
That we shall hardly in our ages see
Their banners wave again."
CORIOLANUS,Saw you Aufidius?
CORIOLANUS,Spoke he of me?
CORIOLANUS,How? what?
CORIOLANUS,At Antium lives he?
CORIOLANUS,"I wish I had a cause to seek him there,
To oppose his hatred fully. Welcome home.
Behold, these are the tribunes of the people,
The tongues o' the common mouth"
SICINIUS,Pass no further.
CORIOLANUS,Ha! what is that?
BRUTUS,It will be dangerous to go on
CORIOLANUS,What makes this change?
MENENIUS,The matter?
COMINIUS,Hath he not pass'd the noble and the common?
BRUTUS,"Cominius, no."
CORIOLANUS,Have I had children's voices?
BRUTUS,The people are incensed against him.
SICINIUS,"Stop,
Or all will fall in broil."
CORIOLANUS,"Are these your herd?
Must these have voices, that can yield them now
And straight disclaim their tongues? What are
your offices?
You being their mouths, why rule you not their teeth?
Have you not set them on?"
MENENIUS,"Be calm, be calm."
CORIOLANUS,"It is a purposed thing, and grows by plot,
To curb the will of the nobility"
BRUTUS,Call't not a plot
CORIOLANUS,"Why, this was known before."
BRUTUS,Not to them all.
CORIOLANUS,Have you inform'd them sithence?
BRUTUS,How! I inform them!
CORIOLANUS,You are like to do such business.
BRUTUS,"Not unlike,
Each way, to better yours."
CORIOLANUS,"Why then should I be consul? By yond clouds,
Let me deserve so ill as you, and make me
Your fellow tribune."
SICINIUS,"You show too much of that
For which the people stir"
MENENIUS,Let's be calm.
COMINIUS,"The people are abused; set on. This paltering
Becomes not Rome, nor has Coriolanus
Deserved this so dishonour'd rub, laid falsely
I' the plain way of his merit."
CORIOLANUS,"Tell me of corn!
This was my speech, and I will speak't again--"
MENENIUS,"Not now, not now."
CORIOLANUS,"Now, as I live, I will. My nobler friends,
I crave their pardons"
MENENIUS,"Well, no more."
CORIOLANUS,"How! no more!
As for my country I have shed my blood,
Not fearing outward force, so shall my lungs
Coin words till their decay against those measles,
Which we disdain should tatter us, yet sought
The very way to catch them."
BRUTUS,"You speak o' the people,
As if you were a god to punish, not
A man of their infirmity."
SICINIUS,"'Twere well
We let the people know't."
MENENIUS,"What, what? his choler?"
CORIOLANUS,"Choler!
Were I as patient as the midnight sleep,
By Jove, 'twould be my mind!"
SICINIUS,"It is a mind
That shall remain a poison where it is,
Not poison any further."
CORIOLANUS,"Shall remain!
Hear you this Triton of the minnows? mark you
His absolute 'shall'?"
COMINIUS,'Twas from the canon.
CORIOLANUS,"'Shall'!
O good but most unwise patricians! why,
You grave but reckless senators, have you thus
Given Hydra here to choose an officer,
That with his peremptory 'shall,' being but
The horn and noise o' the monster's, wants not spirit
To say he'll turn your current in a ditch,
And make your channel his? If he have power
Then vail your ignorance; if none, awake
Your dangerous lenity. If you are learn'd,
Be not as common fools; if you are not,
Let them have cushions by you. You are plebeians,
If they be senators"
COMINIUS,"Well, on to the market-place."
CORIOLANUS,"Whoever gave that counsel, to give forth
The corn o' the storehouse gratis, as 'twas used
Sometime in Greece,--"
MENENIUS,"Well, well, no more of that."
CORIOLANUS,"Though there the people had more absolute power,
I say, they nourish'd disobedience, fed
The ruin of the state."
BRUTUS,"Why, shall the people give
One that speaks thus their voice?"
CORIOLANUS,"I'll give my reasons,
More worthier than their voices. They know the corn
Was not our recompense, resting well assured
That ne'er did service for't"
MENENIUS,"Come, enough."
BRUTUS,"Enough, with over-measure."
CORIOLANUS,"No, take more"
BRUTUS,Has said enough.
SICINIUS,"Has spoken like a traitor, and shall answer
As traitors do."
CORIOLANUS,"Thou wretch, despite o'erwhelm thee!
What should the people do with these bald tribunes?
On whom depending, their obedience fails
To the greater bench"
BRUTUS,Manifest treason!
SICINIUS,This a consul? no.
BRUTUS,"The aediles, ho!
Let him be apprehended."
SICINIUS,"Go, call the people"
CORIOLANUS,"Hence, old goat!"
COMINIUS,"Aged sir, hands off."
CORIOLANUS,"Hence, rotten thing! or I shall shake thy bones
Out of thy garments."
SICINIUS,"Help, ye citizens!"
MENENIUS,On both sides more respect.
SICINIUS,Here's he that would take from you all your power.
BRUTUS,"Seize him, AEdiles!"
MENENIUS,"What is about to be? I am out of breath;
Confusion's near; I cannot speak. You, tribunes
To the people! Coriolanus, patience!
Speak, good Sicinius."
SICINIUS,"Hear me, people; peace!"
SICINIUS,You are at point to lose your liberties
MENENIUS,"Fie, fie, fie!
This is the way to kindle, not to quench."
SICINIUS,What is the city but the people?
BRUTUS,"By the consent of all, we were establish'd
The people's magistrates."
MENENIUS,And so are like to do.
COMINIUS,"That is the way to lay the city flat;
To bring the roof to the foundation,
And bury all, which yet distinctly ranges,
In heaps and piles of ruin."
SICINIUS,This deserves death.
BRUTUS,"Or let us stand to our authority,
Or let us lose it. We do here pronounce,
Upon the part o' the people, in whose power
We were elected theirs, Marcius is worthy
Of present death."
SICINIUS,"Therefore lay hold of him;
Bear him to the rock Tarpeian, and from thence
Into destruction cast him."
BRUTUS,"AEdiles, seize him!"
MENENIUS,"Hear me one word;
Beseech you, tribunes, hear me but a word."
MENENIUS,""
BRUTUS,"Sir, those cold ways,
That seem like prudent helps, are very poisonous
Where the disease is violent. Lay hands upon him,
And bear him to the rock."
CORIOLANUS,"No, I'll die here.
There's some among you have beheld me fighting"
MENENIUS,"Down with that sword! Tribunes, withdraw awhile."
BRUTUS,Lay hands upon him.
COMINIUS,"Help Marcius, help,
You that be noble; help him, young and old!"
MENENIUS,"Go, get you to your house; be gone, away!
All will be naught else."
COMINIUS,"Stand fast;
We have as many friends as enemies."
MENENIUS,Sham it be put to that?
MENENIUS,"For 'tis a sore upon us,
You cannot tent yourself"
COMINIUS,"Come, sir, along with us."
CORIOLANUS,"I would they were barbarians--as they are,
Though in Rome litter'd--not Romans--as they are not,
Though calved i' the porch o' the Capitol--"
MENENIUS,"Be gone;
Put not your worthy rage into your tongue;
One time will owe another."
CORIOLANUS,"On fair ground
I could beat forty of them."
COMINIUS,"I could myself
Take up a brace o' the best of them; yea, the
two tribunes"
MENENIUS,"Pray you, be gone"
COMINIUS,"Nay, come away."
MENENIUS,His nature is too noble for the world
MENENIUS,"I would they were in Tiber! What the vengeance!
Could he not speak 'em fair?"
SICINIUS,"Where is this viper
That would depopulate the city and
Be every man himself?"
MENENIUS,"You worthy tribunes,--"
SICINIUS,"He shall be thrown down the Tarpeian rock
With rigorous hands"
MENENIUS,"Sir, sir,--"
SICINIUS,Peace!
MENENIUS,"Do not cry havoc, where you should but hunt
With modest warrant."
SICINIUS,"Sir, how comes't that you
Have holp to make this rescue?"
MENENIUS,Hear me speak
SICINIUS,Consul! what consul?
MENENIUS,The consul Coriolanus.
BRUTUS,He consul!
MENENIUS,"If, by the tribunes' leave, and yours, good people,
I may be heard, I would crave a word or two;
The which shall turn you to no further harm
Than so much loss of time."
SICINIUS,"Speak briefly then;
For we are peremptory to dispatch
This viperous traitor"
MENENIUS,"Now the good gods forbid
That our renowned Rome, whose gratitude
Towards her deserved children is enroll'd
In Jove's own book, like an unnatural dam
Should now eat up her own!"
SICINIUS,He's a disease that must be cut away.
MENENIUS,"O, he's a limb that has but a disease;
Mortal, to cut it off; to cure it, easy.
What has he done to Rome that's worthy death?
Killing our enemies, the blood he hath lost--
Which, I dare vouch, is more than that he hath,
By many an ounce--he dropp'd it for his country;
And what is left, to lose it by his country,
Were to us all, that do't and suffer it,
A brand to the end o' the world."
SICINIUS,This is clean kam.
BRUTUS,Merely awry
MENENIUS,"The service of the foot
Being once gangrened, is not then respected
For what before it was."
BRUTUS,"We'll hear no more.
Pursue him to his house, and pluck him thence"
MENENIUS,"One word more, one word.
This tiger-footed rage, when it shall find
The harm of unscann'd swiftness, will too late
Tie leaden pounds to's heels. Proceed by process;
Lest parties, as he is beloved, break out,
And sack great Rome with Romans."
BRUTUS,"If it were so,--"
SICINIUS,"What do ye talk?
Have we not had a taste of his obedience?
Our aediles smote? ourselves resisted? Come."
MENENIUS,Consider this
SICINIUS,"Noble Menenius,
Be you then as the people's officer.
Masters, lay down your weapons."
BRUTUS,Go not home.
SICINIUS,Meet on the market-place. We'll attend you there
MENENIUS,"I'll bring him to you.
Let me desire your company"
CORIOLANUS,"Let them puff all about mine ears, present me
Death on the wheel or at wild horses' heels,
Or pile ten hills on the Tarpeian rock,
That the precipitation might down stretch
Below the beam of sight, yet will I still
Be thus to them."
CORIOLANUS,"I muse my mother
Does not approve me further, who was wont
To call them woollen vassals, things created
To buy and sell with groats, to show bare heads
In congregations, to yawn, be still and wonder,
When one but of my ordinance stood up
To speak of peace or war.
I talk of you"
CORIOLANUS,Let go.
CORIOLANUS,Let them hang.
MENENIUS,"Come, come, you have been too rough, something
too rough;
You must return and mend it."
MENENIUS,"Well said, noble woman?
Before he should thus stoop to the herd, but that
The violent fit o' the time craves it as physic
For the whole state, I would put mine armour on,
Which I can scarcely bear."
CORIOLANUS,What must I do?
MENENIUS,Return to the tribunes.
CORIOLANUS,"Well, what then? what then?"
MENENIUS,Repent what you have spoke.
CORIOLANUS,"For them! I cannot do it to the gods;
Must I then do't to them?"
CORIOLANUS,"Tush, tush!"
MENENIUS,A good demand.
CORIOLANUS,Why force you this?
MENENIUS,"Noble lady!
Come, go with us; speak fair"
MENENIUS,"This but done,
Even as she speaks, why, their hearts were yours;
For they have pardons, being ask'd, as free
As words to little purpose."
COMINIUS,"I have been i' the market-place; and, sir,'tis fit
You make strong party, or defend yourself
By calmness or by absence"
MENENIUS,Only fair speech.
COMINIUS,"I think 'twill serve, if he
Can thereto frame his spirit."
CORIOLANUS,"Must I go show them my unbarbed sconce?
Must I with base tongue give my noble heart
A lie that it must bear? Well, I will do't"
COMINIUS,"Come, come, we'll prompt you."
CORIOLANUS,"Well, I must do't"
CORIOLANUS,"Pray, be content"
COMINIUS,Away! the tribunes do attend you
CORIOLANUS,"The word is 'mildly.' Pray you, let us go"
MENENIUS,"Ay, but mildly."
CORIOLANUS,"Well, mildly be it then. Mildly!"
BRUTUS,"In this point charge him home, that he affects
Tyrannical power"
BRUTUS,How accompanied?
SICINIUS,"Have you a catalogue
Of all the voices that we have procured
Set down by the poll?"
SICINIUS,Have you collected them by tribes?
SICINIUS,"Assemble presently the people hither;
And when they bear me say 'It shall be so
I' the right and strength o' the commons,' be it either
For death, for fine, or banishment, then let them
If I say fine, cry 'Fine;' if death, cry 'Death.'
Insisting on the old prerogative
And power i' the truth o' the cause."
BRUTUS,"And when such time they have begun to cry,
Let them not cease, but with a din confused
Enforce the present execution
Of what we chance to sentence."
SICINIUS,"Make them be strong and ready for this hint,
When we shall hap to give 't them."
BRUTUS,"Go about it.
Put him to choler straight"
SICINIUS,"Well, here he comes."
MENENIUS,"Calmly, I do beseech you."
CORIOLANUS,"Ay, as an ostler, that for the poorest piece
Will bear the knave by the volume. The honour'd gods
Keep Rome in safety, and the chairs of justice
Supplied with worthy men! plant love among 's!
Throng our large temples with the shows of peace,
And not our streets with war!"
MENENIUS,A noble wish.
SICINIUS,"Draw near, ye people."
